delivery_id,product_type,volume,unit_price,total_price,origin_country,destination_country,transport_method,loading_time,unloading_time,driver_name,customer_name,customer_address
1,Heating Oil,7288.35,3.94,28716.099,Chile,Argentina,Ship,12/11/2022,2/27/2022,Arron Hugnot,Phillipp Rival,41 Corry Center
2,Diesel,1557.59,2.46,3831.6714,Indonesia,Brazil,Pipeline,12/18/2022,9/9/2022,Roseann Balchen,Kellen Eggleson,162 Portage Park
3,Heating Oil,9213.78,4.33,39895.6674,China,Greece,Pipeline,1/12/2022,5/7/2022,Anabelle Stukings,Cullie Farncombe,37770 Schlimgen Point
4,Diesel,282.96,4.27,1208.2392,Portugal,France,Ship,1/20/2022,11/11/2022,Aryn Stockwell,Willy Bridle,261 Forest Junction
5,Diesel,6600.03,1.73,11418.0519,China,China,Ship,11/17/2022,8/2/2022,Karlyn Meake,Leontine Withrington,0 Mcguire Way
6,Gasoline,570.27,3.04,1733.6208,Finland,China,Tank Truck,12/17/2022,10/11/2022,Tabby Pickover,Gabbey Spondley,480 Helena Point
7,Diesel,8867.91,4.99,44250.8709,China,Bosnia and Herzegovina,Tank Truck,4/2/2022,8/4/2022,Cordie Pley,Ivor Maggi,45 Fordem Plaza
8,Diesel,4322.4,2.72,11756.928,Nigeria,Mexico,Tank Truck,12/27/2022,10/22/2022,Puff Else,Mac Goymer,82269 Surrey Way
9,Heating Oil,2676.92,1.09,2917.8428,Honduras,China,Tank Truck,3/28/2022,3/29/2022,Arlette Burnes,Slade Ogilvy,4273 Maryland Avenue
10,Gasoline,741.19,2.27,1682.5013,Argentina,Poland,Tank Truck,1/6/2022,10/17/2022,Rustin Mate,Devan Elleray,8 Eastwood Park
11,Diesel,9685.07,4.03,39030.8321,Czech Republic,Democratic Republic of the Congo,Pipeline,4/21/2022,1/28/2022,Curran Emslie,Keith Sawley,922 Melby Park
12,Gasoline,8383.31,2.07,17353.4517,Albania,China,Ship,1/17/2022,11/6/2022,Gussy Yekel,Marji Harses,83 Basil Circle
13,Gasoline,4346.05,3.82,16601.911,Bulgaria,Syria,Pipeline,7/13/2022,10/23/2022,Isa Jerche,Ivette Ikins,8002 Mandrake Place
14,Diesel,9124.31,3.14,28650.3334,China,Russia,Pipeline,2/13/2022,5/12/2022,Marleen Pollicatt,West Horney,92 Troy Road
15,Diesel,6098.49,2.07,12623.8743,Philippines,Bosnia and Herzegovina,Tank Truck,12/16/2022,2/12/2022,Gwenora Housiaux,Lisette Woollhead,5031 Holy Cross Drive
16,Diesel,4101.98,1.27,5209.5146,Jamaica,China,Pipeline,1/23/2022,5/30/2022,Malva Harrell,Torey Leake,2 Susan Park
17,Gasoline,1468.27,3.2,4698.464,Ukraine,Indonesia,Pipeline,7/19/2022,11/17/2022,Padraic Edland,Rosana McJarrow,30 Jenifer Center
18,Diesel,5952.8,1.33,7917.224,Macedonia,Indonesia,Tank Truck,12/22/2022,5/30/2022,Tallie Allabush,Emmit Dougill,3789 Laurel Drive
19,Heating Oil,3396.78,2.89,9816.6942,Canada,Bulgaria,Pipeline,1/14/2022,8/31/2022,Vergil Knoton,Annecorinne Cherm,6 Cordelia Park
20,Diesel,5223.89,2.7,14104.503,Ukraine,China,Pipeline,12/10/2022,7/24/2022,Efrem MacCulloch,Gui O'Spellissey,8601 Dunning Way
21,Diesel,1103.57,3.27,3608.6739,France,Indonesia,Pipeline,7/26/2022,3/26/2022,Ferdinanda Furzer,Dre Crease,00283 Leroy Point
22,Heating Oil,7538.84,2.77,20882.5868,Russia,China,Pipeline,9/27/2022,6/20/2022,Temp Czyz,Alma Seacombe,8 Sachtjen Avenue
23,Gasoline,1703.58,4.01,6831.3558,Portugal,France,Pipeline,5/5/2022,8/10/2022,Shaylah Yate,Sigvard Swales,6 Elmside Lane
24,Diesel,449.73,2.85,1281.7305,Bulgaria,Indonesia,Pipeline,1/15/2022,8/19/2022,Hanson Hansley,Giulio Slafford,84 Surrey Terrace
25,Heating Oil,9039.74,3.86,34893.3964,China,Brazil,Pipeline,11/18/2022,8/2/2022,Ravid Laugherane,Fons Wais,7532 Farmco Street
26,Diesel,4253.17,1.71,7272.9207,Brazil,Mexico,Tank Truck,11/29/2022,1/1/2022,Arlana Cleverly,Decca Vagges,78357 Anhalt Terrace
27,Diesel,1962.02,1.78,3492.3956,France,China,Tank Truck,10/19/2022,12/4/2022,Albert Dagnan,Kirby Speariett,7054 Hansons Point
28,Diesel,1643.33,3.04,4995.7232,Portugal,China,Ship,3/9/2022,7/27/2022,Adella Canelas,Arturo Geare,80 Bowman Circle
29,Gasoline,7588.21,1.74,13203.4854,French Guiana,Argentina,Pipeline,8/27/2022,8/7/2022,Gus Yakuntsov,Addison Stare,557 Haas Terrace
30,Diesel,8646.01,1.37,11845.0337,Brazil,Macedonia,Pipeline,12/21/2022,4/23/2022,Erma Oles,Darcie Walling,638 3rd Court
31,Heating Oil,8570.85,4.25,36426.1125,Ireland,Indonesia,Pipeline,4/2/2022,4/11/2022,Breena La Grange,Guillema Julyan,3041 Lillian Drive
32,Heating Oil,6927.06,1.28,8866.6368,Indonesia,Indonesia,Tank Truck,9/1/2022,5/20/2022,Poul Abraham,Pansy Engelmann,807 Pawling Lane
33,Diesel,7440.75,1.03,7663.9725,Serbia,Thailand,Ship,4/22/2022,8/4/2022,Patrizius Stanyer,Eloise Gerraty,1257 Prairie Rose Alley
34,Gasoline,3144.14,4.24,13331.1536,China,China,Ship,9/30/2022,9/7/2022,Sanderson Mingaud,Dorolice Mobbs,8 Sheridan Park
35,Heating Oil,7030.16,1.73,12162.1768,Armenia,Mexico,Pipeline,1/18/2022,5/7/2022,Gennie Buer,Emmaline Hinken,576 Blue Bill Park Avenue
36,Gasoline,733.03,4.9,3591.847,Serbia,Benin,Tank Truck,8/10/2022,5/25/2022,Minni Oldridge,Ganny Kempston,58389 Sage Parkway
37,Diesel,6021.16,2.01,12102.5316,Dominican Republic,Uzbekistan,Ship,1/31/2022,5/12/2022,Armand Masterson,Angil Maymand,6965 Reindahl Center
38,Diesel,2961.38,3.96,11727.0648,Haiti,Portugal,Pipeline,5/6/2022,10/23/2022,Sonnnie Vanyushin,Garald MacKibbon,61 Sloan Court
39,Heating Oil,6694.35,2.65,17740.0275,Armenia,Brazil,Ship,5/13/2022,1/22/2022,Olag Yashnov,Salomo Bosma,230 International Center
40,Gasoline,5183.71,4.13,21408.7223,Canada,China,Pipeline,3/28/2022,3/22/2022,Edin Carlsen,Paco Coleman,87 Twin Pines Place
41,Gasoline,9815.31,1.23,12072.8313,Ghana,Honduras,Pipeline,4/6/2022,6/14/2022,Moria Jeanes,Michael Shurrock,383 Montana Court
42,Diesel,854.12,1.94,1656.9928,Brazil,Dominican Republic,Ship,1/10/2022,8/28/2022,Georgette Callacher,Christine Iggalden,7 Daystar Court
43,Diesel,551.1,3.05,1680.855,Indonesia,South Africa,Tank Truck,6/4/2022,2/13/2022,Morissa Sand,Halette De Caville,8 Pierstorff Pass
44,Diesel,3663.6,4.64,16999.104,United States,Norway,Pipeline,12/9/2022,6/29/2022,Marieann Domleo,Donny Still,622 Larry Junction
45,Heating Oil,5502.94,1.26,6933.7044,Poland,Mexico,Pipeline,1/9/2022,3/5/2022,Melodie Osband,Christiana Pratten,5 Merrick Crossing
46,Heating Oil,4395.31,3.98,17493.3338,Poland,Netherlands,Ship,11/18/2022,11/11/2022,Ruthe Wastie,Winonah de Zamora,37 Laurel Hill
47,Gasoline,6642.55,4.1,27234.455,Indonesia,Hong Kong,Ship,6/25/2022,9/2/2022,Edwin Bliven,Fredi Woolliams,3528 Superior Pass
48,Heating Oil,9653.54,3.77,36393.8458,Russia,Mexico,Pipeline,1/20/2022,6/13/2022,Augustina Isacke,Rancell Briar,313 Corscot Trail
49,Heating Oil,1553.49,1.86,2889.4914,China,South Korea,Tank Truck,11/12/2022,11/27/2022,Dasie Rankling,Aurthur Berth,5059 Buhler Road
50,Gasoline,7292.5,2.21,16116.425,Indonesia,Madagascar,Pipeline,6/11/2022,2/18/2022,Rosabelle Heed,Cherilynn Woodworth,201 Lotheville Street
51,Gasoline,1190.91,2.71,3227.3661,China,France,Pipeline,9/8/2022,1/23/2022,Mathilda Ciccottini,Maria Bickersteth,8 Jay Park
52,Gasoline,5553.25,3.26,18103.595,Cayman Islands,Portugal,Ship,5/3/2022,5/4/2022,Eduino Jaksic,Jessey Bushe,536 Shoshone Trail
53,Gasoline,2249.6,4.68,10528.128,Indonesia,United States,Ship,4/27/2022,5/25/2022,Vaughan Dennert,Camala Bankhurst,1067 Monument Avenue
54,Diesel,9703.77,1.44,13973.4288,Zambia,Finland,Pipeline,9/16/2022,2/10/2022,Alli Okenden,Ewen Daniel,4 Paget Circle
55,Gasoline,1184.36,4.52,5353.3072,China,Portugal,Ship,1/7/2022,4/25/2022,Cull Crocroft,Stafford Kesley,2 Northfield Drive
56,Diesel,7788.39,1.86,14486.4054,Argentina,China,Tank Truck,8/12/2022,5/19/2022,Clara Longforth,Kerwinn Ardy,53 Bartelt Plaza
57,Gasoline,5802.89,3.93,22805.3577,France,China,Pipeline,6/14/2022,10/19/2022,Care Rashleigh,Dana Spradbery,0 Calypso Crossing
58,Heating Oil,8654.6,3.91,33839.486,Brazil,Russia,Ship,1/2/2022,11/22/2022,Fitz Begent,Colly Worwood,1 Sutherland Street
59,Diesel,8040.57,1.17,9407.4669,Netherlands,Ukraine,Pipeline,7/28/2022,5/12/2022,Emelyne O'Kynsillaghe,Deanne Sirmon,32776 Upham Trail
60,Diesel,2897.24,3.11,9010.4164,China,Poland,Ship,3/25/2022,8/17/2022,Analise Fanti,Cornelius Bilby,61177 Kensington Plaza
61,Gasoline,7433.6,2.49,18509.664,Indonesia,China,Pipeline,1/31/2022,8/25/2022,Waldo Martel,Drud Vasey,04 Portage Court
62,Heating Oil,1565.27,2.59,4054.0493,Philippines,China,Pipeline,12/3/2022,2/9/2022,Joice Vernham,Dallis Wolfers,38 Schurz Street
63,Gasoline,1434.32,4.31,6181.9192,Belgium,China,Ship,7/8/2022,11/25/2022,Nata Felten,Jaymie Meadley,7 Hoepker Junction
64,Gasoline,5805.76,4.69,27229.0144,Brazil,Mexico,Tank Truck,2/11/2022,4/5/2022,Tracie Oosthout de Vree,Koressa Ioselevich,34 Thierer Park
65,Gasoline,1545.94,3.88,5998.2472,Finland,Jordan,Tank Truck,11/23/2022,9/5/2022,Zollie Houdhury,Phaidra Krammer,4 Reindahl Plaza
66,Diesel,4532.4,3.99,18084.276,Egypt,China,Tank Truck,6/24/2022,9/28/2022,Pammie Huebner,Dorine Besnard,2966 Ludington Hill
67,Heating Oil,4965.43,2.02,10030.1686,Brazil,Indonesia,Ship,12/16/2022,10/12/2022,Andreas Slatford,Shamus Elmhirst,69535 Bobwhite Pass
68,Gasoline,1866.63,2.49,4647.9087,United States,China,Ship,4/29/2022,7/28/2022,Livvyy Fish,Lucio Dobble,9889 Packers Lane
69,Diesel,8468.18,2.93,24811.7674,United States,China,Pipeline,2/20/2022,4/6/2022,Lou Lough,Dougie Laxton,31258 Independence Hill
70,Heating Oil,9347.73,1.67,15610.7091,Latvia,Zimbabwe,Ship,3/18/2022,8/26/2022,Ronna Sture,Tammara Hickinbottom,2 Twin Pines Center
71,Heating Oil,4167.02,3.1,12917.762,Russia,Iran,Ship,6/20/2022,12/25/2022,Pet Midden,Roobbie Kondratenko,66 Chive Junction
72,Diesel,1500.71,1.36,2040.9656,Japan,Indonesia,Pipeline,12/27/2022,7/11/2022,Winonah Jurges,Hanni Rose,69317 Columbus Circle
73,Heating Oil,3939.54,3.62,14261.1348,China,Brazil,Ship,12/9/2022,9/4/2022,Garey Gouck,William Barenski,5786 Kinsman Plaza
74,Diesel,422.97,3.39,1433.8683,France,China,Ship,12/22/2022,10/16/2022,Lennie O'Corrigane,Livvy Corbert,2 Garrison Drive
75,Diesel,6036.67,4.59,27708.3153,Tajikistan,Canada,Pipeline,11/12/2022,11/16/2022,Wilow Hazleton,Evangelia Conechie,7176 Lakewood Gardens Place
76,Heating Oil,2273.19,4.17,9479.2023,Philippines,Philippines,Pipeline,10/11/2022,3/1/2022,Allison Jachimiak,Drugi Smylie,2 Dennis Trail
77,Heating Oil,1059.51,2.54,2691.1554,Russia,Guinea,Tank Truck,9/8/2022,10/22/2022,Cloe Blaiklock,Hollie Rattery,8 Columbus Crossing
78,Diesel,4654.11,2.06,9587.4666,China,Brazil,Tank Truck,8/17/2022,7/6/2022,Ileana Albon,Joella Gulliford,20 Hagan Center
79,Heating Oil,5189.35,2.15,11157.1025,Poland,Colombia,Ship,6/7/2022,2/14/2022,Maddie Perel,Charo Penrose,0 Longview Alley
80,Gasoline,5778.52,2.59,14966.3668,Norway,Portugal,Pipeline,11/5/2022,7/4/2022,Cordelie Asken,Reggis Chaddock,2656 Thompson Terrace
81,Gasoline,8876.79,3.39,30092.3181,Poland,Ukraine,Tank Truck,7/9/2022,1/12/2022,Cornie Jump,Jazmin Farguhar,3690 Calypso Pass
82,Gasoline,9757.36,1.53,14928.7608,Indonesia,Indonesia,Tank Truck,9/3/2022,9/3/2022,Yorke McAirt,Juliana Vigne,35 Corry Plaza
83,Heating Oil,8359.08,3.31,27668.5548,China,Armenia,Ship,3/15/2022,5/4/2022,Jerrilyn Codling,Christin Ford,7607 Washington Terrace
84,Gasoline,6577.58,2.68,17627.9144,Czech Republic,China,Tank Truck,3/7/2022,5/31/2022,Harmon Lower,Em Strutt,8 Pearson Way
85,Diesel,7296.92,3.08,22474.5136,Colombia,Cameroon,Tank Truck,2/4/2022,9/12/2022,Isadora Wynne,Donny Miranda,898 Texas Hill
86,Diesel,9499.99,1.03,9784.9897,Honduras,China,Ship,7/26/2022,9/9/2022,Gerald Antonikov,Gottfried Capeloff,42 Mayfield Alley
87,Heating Oil,3963.1,2.11,8362.141,Norway,Philippines,Tank Truck,12/12/2022,1/6/2022,Palm Fassam,Alfy Entissle,28326 Ridgeway Street
88,Gasoline,4786.42,1.48,7083.9016,Poland,Portugal,Tank Truck,11/22/2022,3/10/2022,Tandi Bleibaum,Oralee Chessun,5 Texas Crossing
89,Heating Oil,9591.61,4.72,45272.3992,United States,China,Tank Truck,7/9/2022,3/1/2022,Antony Cases,Vivyanne Langworthy,98673 Larry Center
90,Diesel,7100.24,1.36,9656.3264,United States,Guatemala,Tank Truck,10/19/2022,9/14/2022,Filide Keelinge,Blakelee Berrisford,22 Oriole Crossing
91,Diesel,7948.92,1.25,9936.15,Philippines,Australia,Pipeline,10/6/2022,3/18/2022,Zita Pandey,Forbes Ledley,505 Goodland Alley
92,Diesel,336.06,2.66,893.9196,China,United Kingdom,Ship,10/7/2022,4/8/2022,Leo Battman,Elwin Torel,71843 Onsgard Lane
93,Diesel,6699.64,1.42,9513.4888,China,Russia,Tank Truck,11/20/2022,1/30/2022,Amos Sneddon,Nehemiah Colls,4 Maywood Lane
94,Heating Oil,5268.87,1.11,5848.4457,Philippines,Indonesia,Tank Truck,9/15/2022,12/23/2022,Bartholomeo Ewence,Wilhelm Pennington,53899 Stone Corner Point
95,Heating Oil,3132.79,2.83,8865.7957,China,Germany,Tank Truck,7/3/2022,8/20/2022,Orrin Garthside,Kirstyn Mishow,24 Atwood Terrace
96,Gasoline,2714.64,2.79,7573.8456,Argentina,South Africa,Ship,2/11/2022,9/8/2022,Norton Torbett,Eddie Terrelly,5509 Tomscot Parkway
97,Heating Oil,6938.13,2.27,15749.5551,Russia,China,Pipeline,11/6/2022,3/2/2022,Gwenneth Aleksich,Agneta Flaonier,93 Kenwood Hill
98,Heating Oil,3617.16,3.56,12877.0896,Czech Republic,Philippines,Ship,8/10/2022,1/28/2022,Pavla Ashford,Modesta Ordemann,5 Sachtjen Pass
99,Heating Oil,2344.35,2.2,5157.57,Nepal,Vietnam,Ship,1/13/2022,3/7/2022,Hinze Flobert,Leo Lissemore,88 Meadow Vale Road
100,Heating Oil,3478.69,1.66,5774.6254,France,Philippines,Pipeline,5/25/2022,10/6/2022,Jeth Seckom,Winfred Logg,7 American Point
101,Heating Oil,7786.24,1.6,12457.984,Indonesia,Greece,Tank Truck,6/12/2022,11/2/2022,Estella Barrand,Clint Scamadin,69058 Nobel Plaza
102,Heating Oil,135.77,3.0,407.31,Japan,Afghanistan,Ship,1/9/2022,9/15/2022,Jeffrey Merrington,Ines Crowe,09 Lighthouse Bay Drive
103,Heating Oil,5004.33,2.26,11309.7858,Syria,Peru,Tank Truck,11/22/2022,9/13/2022,Noll Maggill'Andreis,Gaspar Runacres,97 Twin Pines Plaza
104,Heating Oil,3948.39,2.08,8212.6512,Indonesia,Burkina Faso,Ship,3/25/2022,7/13/2022,Marven Borrell,Tawsha McDugal,53906 Dennis Hill
105,Diesel,8767.55,3.87,33930.4185,Philippines,Indonesia,Ship,6/9/2022,3/10/2022,Cedric Wastall,Gale Tripet,6987 La Follette Place
106,Heating Oil,3186.16,3.52,11215.2832,Slovenia,Indonesia,Pipeline,7/25/2022,5/9/2022,Toni Whales,Merle Bellingham,84 Mcguire Lane
107,Diesel,2379.28,4.14,9850.2192,Greece,Portugal,Ship,4/23/2022,4/30/2022,Michell Stansell,Erica Tawton,673 Dottie Center
108,Gasoline,2498.74,4.07,10169.8718,Japan,Syria,Tank Truck,12/11/2022,6/27/2022,Margy Higbin,Gradey Goulder,7265 Loeprich Crossing
109,Gasoline,458.1,4.46,2043.126,United States,China,Pipeline,2/21/2022,7/13/2022,Annecorinne Quirke,Kerry Hagard,22400 Duke Junction
110,Gasoline,4150.53,2.45,10168.7985,Greece,Peru,Ship,11/23/2022,6/17/2022,Ariel Albrook,Caprice Surphliss,754 Eggendart Street
111,Heating Oil,1669.92,3.41,5694.4272,Russia,Russia,Ship,5/28/2022,5/20/2022,Quintana Clemmow,Maxy Shenfisch,2 Basil Alley
112,Heating Oil,4917.0,1.83,8998.11,Philippines,Sweden,Tank Truck,3/24/2022,8/17/2022,Jayme Ryrie,Carmine Shankster,311 Gale Point
113,Diesel,3321.32,4.96,16473.7472,Latvia,China,Pipeline,1/27/2022,1/7/2022,Aluin Olle,Osborne Tesyro,738 Hooker Drive
114,Gasoline,384.72,3.71,1427.3112,Germany,Indonesia,Ship,3/8/2022,11/29/2022,Hercule Biddulph,Bernadette Zamora,6 Schlimgen Crossing
115,Gasoline,9600.43,4.61,44257.9823,Nigeria,Indonesia,Ship,2/2/2022,12/2/2022,Randi Rickaby,Celinka Filyukov,2 Lien Avenue
116,Diesel,1593.99,4.32,6886.0368,Indonesia,United Kingdom,Tank Truck,11/26/2022,6/9/2022,Olimpia Dowyer,Michaela Jurzyk,66 Continental Way
117,Gasoline,1895.38,3.6,6823.368,France,Saudi Arabia,Tank Truck,1/25/2022,9/15/2022,Allison Priver,Porty Skottle,3413 Daystar Road
118,Gasoline,5003.86,1.32,6605.0952,China,Cuba,Ship,6/9/2022,6/5/2022,Tiffy Spurr,Morry Mobley,27 Haas Alley
119,Heating Oil,4493.96,2.17,9751.8932,China,Kazakhstan,Pipeline,1/8/2022,12/27/2022,Hayden Royce,Monti Drinkwater,386 Eagan Lane
120,Diesel,5596.51,2.3,12871.973,China,China,Tank Truck,3/1/2022,6/28/2022,Phylis Lief,Alis Stopford,35 Caliangt Parkway
121,Gasoline,5548.22,4.82,26742.4204,Croatia,Sweden,Ship,5/1/2022,1/10/2022,Sissie Francombe,Emmalynne Ivamy,99 Scoville Alley
122,Gasoline,828.58,1.98,1640.5884,United States,Finland,Ship,1/28/2022,3/2/2022,Rickie Biasotti,Marsh Searles,373 Barnett Circle
123,Heating Oil,1023.29,4.25,4348.9825,Ukraine,Netherlands,Tank Truck,3/23/2022,12/23/2022,Modesta Banaszczyk,Gwyn Kinrade,0 Steensland Place
124,Gasoline,8603.09,2.12,18238.5508,United States,Belarus,Pipeline,4/20/2022,5/3/2022,Titus Bysshe,Fairleigh Millett,87800 Karstens Point
125,Diesel,1068.28,4.99,5330.7172,Indonesia,Peru,Pipeline,2/14/2022,12/20/2022,Cassaundra Mechi,Bria Robker,546 Northland Avenue
126,Diesel,4582.83,4.48,20531.0784,Indonesia,Malaysia,Ship,12/12/2022,9/30/2022,Dulcie Tippin,Sharline Sweetland,863 Northport Place
127,Diesel,9097.76,3.35,30477.496,Canada,Finland,Tank Truck,5/12/2022,7/29/2022,Caryl Bramhill,Ethelbert Rielly,8 Little Fleur Trail
128,Diesel,1689.23,4.72,7973.1656,Thailand,Czech Republic,Pipeline,4/18/2022,4/20/2022,Mycah Hourstan,Hardy Noorwood,585 Brown Plaza
129,Diesel,2049.86,2.7,5534.622,Indonesia,Portugal,Tank Truck,4/15/2022,7/4/2022,Clyve Beevis,Damaris Markson,334 Granby Street
130,Heating Oil,1573.23,1.79,2816.0817,Pakistan,Ukraine,Ship,3/6/2022,8/24/2022,Anette Tillyer,Caria Surgood,1 Autumn Leaf Circle
131,Gasoline,3450.41,2.15,7418.3815,South Africa,China,Pipeline,10/21/2022,6/23/2022,Georgeanne Weblin,Sig Rudsdell,62 Nobel Plaza
132,Heating Oil,2265.47,2.47,5595.7109,Poland,China,Tank Truck,1/25/2022,1/9/2022,Worthington Lillicrop,Corly Danbury,02 Dahle Park
133,Diesel,5826.37,1.89,11011.8393,Indonesia,Mali,Pipeline,2/18/2022,1/16/2022,Edgar Robert,Charmion Gookey,0050 Arapahoe Parkway
134,Heating Oil,698.2,1.38,963.516,Thailand,Czech Republic,Tank Truck,6/6/2022,3/14/2022,Clem Hampshaw,Ara Swash,0256 Oneill Hill
